"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"04/01/2021 02:00 - 04/01/2021 02:15","BZN|NL","10703.14","11618.10"
"04/01/2021 02:15 - 04/01/2021 02:30","BZN|NL","10685.49","11623.34"
"04/01/2021 02:30 - 04/01/2021 02:45","BZN|NL","10624.42","11598.67"
"04/01/2021 02:45 - 04/01/2021 03:00","BZN|NL","10602.97","11571.77"
"04/01/2021 03:00 - 04/01/2021 03:15","BZN|NL","10635.65","11570.15"
"04/01/2021 03:15 - 04/01/2021 03:30","BZN|NL","10671.41","11569.16"
"04/01/2021 03:30 - 04/01/2021 03:45","BZN|NL","10601.72","11564.50"
"04/01/2021 03:45 - 04/01/2021 04:00","BZN|NL","10659.14","11552.76"
"04/01/2021 04:00 - 04/01/2021 04:15","BZN|NL","10751.69","11572.25"
"04/01/2021 04:15 - 04/01/2021 04:30","BZN|NL","10792.69","11641.13"
"04/01/2021 04:30 - 04/01/2021 04:45","BZN|NL","10809.45","11706.61"
"04/01/2021 04:45 - 04/01/2021 05:00","BZN|NL","10872.00","11762.70"
"04/01/2021 05:00 - 04/01/2021 05:15","BZN|NL","11032.71","11850.95"
"04/01/2021 05:15 - 04/01/2021 05:30","BZN|NL","11131.57","11976.17"
"04/01/2021 05:30 - 04/01/2021 05:45","BZN|NL","11331.09","12155.65"
"04/01/2021 05:45 - 04/01/2021 06:00","BZN|NL","11569.20","12343.04"
"04/01/2021 06:00 - 04/01/2021 06:15","BZN|NL","11978.21","12588.40"
"04/01/2021 06:15 - 04/01/2021 06:30","BZN|NL","12367.54","12902.62"
"04/01/2021 06:30 - 04/01/2021 06:45","BZN|NL","12628.89","13167.92"
"04/01/2021 06:45 - 04/01/2021 07:00","BZN|NL","12989.33","13428.01"
"04/01/2021 07:00 - 04/01/2021 07:15","BZN|NL","13470.57","13742.79"
"04/01/2021 07:15 - 04/01/2021 07:30","BZN|NL","13854.55","14130.97"
