event_time_utc,zone,temperature_c,u10_ms,v10_ms,surface_pressure_pa
2020-01-12 10:00:00,NL,7.111969,5.2177143,6.945271,101432.914
2020-01-12 11:00:00,NL,7.446411,5.923525,6.9142394,101390.02
2020-01-12 12:00:00,NL,7.743805,6.5367236,6.553742,101345.125
2020-01-12 13:00:00,NL,8.133087,7.1221128,5.8704987,101317.71
2020-01-12 14:00:00,NL,8.464294,7.768528,5.0045457,101305.07
2020-01-12 15:00:00,NL,8.662018,8.132022,3.8663766,101353.44
2020-01-12 16:00:00,NL,8.670471,7.9148765,2.567505,101417.81
2020-01-12 17:00:00,NL,8.558136,7.3494067,1.7233016,101491.02
2020-01-12 18:00:00,NL,8.325317,6.6851354,1.4525492,101562.29
2020-01-12 19:00:00,NL,8.041351,6.178237,1.5937779,101613.84
2020-01-12 20:00:00,NL,7.7697144,5.899054,1.826063,101678.445
2020-01-12 21:00:00,NL,7.4881897,5.4839573,2.003918,101706.95
2020-01-12 22:00:00,NL,7.349304,4.901176,2.055962,101750.98
2020-01-12 23:00:00,NL,7.1104126,4.665866,2.497816,101760.766
2020-01-13 00:00:00,NL,6.982147,4.190858,2.954109,101766.35
2020-01-13 01:00:00,NL,6.858246,3.9724717,3.3495536,101703.27
2020-01-13 02:00:00,NL,6.774536,3.753893,3.739565,101709.95
2020-01-13 03:00:00,NL,6.701416,3.6075473,4.1865144,101667.26
2020-01-13 04:00:00,NL,6.627289,3.4856665,4.4242225,101574.28
2020-01-13 05:00:00,NL,6.570587,3.3035047,4.5670185,101566.625
2020-01-13 06:00:00,NL,6.548401,3.2977598,4.7143383,101486.61
2020-01-13 07:00:00,NL,6.4515686,3.0622618,4.8514166,101485.805
2020-01-13 08:00:00,NL,6.42572,2.7933152,5.0286727,101473.25
2020-01-13 09:00:00,NL,6.602478,2.640524,5.420452,101441.67
2020-01-13 10:00:00,NL,6.9964294,2.0592976,5.6299214,101422.805
2020-01-13 11:00:00,NL,7.3948975,1.9011176,6.428219,101344.92
2020-01-13 12:00:00,NL,7.733917,1.5599527,6.9065614,101213.36
2020-01-13 13:00:00,NL,7.9236145,1.1121485,7.1209226,101070.35
2020-01-13 14:00:00,NL,8.0043335,0.688032,7.400467,100982.46
2020-01-13 15:00:00,NL,7.790741,0.041163042,7.520428,100893.375
2020-01-13 16:00:00,NL,7.5401306,-0.5930975,7.938335,100776.73
2020-01-13 17:00:00,NL,7.546631,-0.9749429,8.569412,100651.695
2020-01-13 18:00:00,NL,7.8392334,-0.6931105,9.270327,100537.76
2020-01-13 19:00:00,NL,8.138031,-0.048267122,9.735395,100440.44
2020-01-13 20:00:00,NL,8.525879,0.5585986,10.120696,100328.27
2020-01-13 21:00:00,NL,8.930603,1.098521,10.605335,100187.64
2020-01-13 22:00:00,NL,9.288605,1.4715631,10.542043,100093.61
2020-01-13 23:00:00,NL,9.649017,2.2276838,10.805884,100011.21
2020-01-14 00:00:00,NL,9.869415,3.0413263,10.853244,99944.59
2020-01-14 01:00:00,NL,9.87793,3.8559537,10.595491,99868.22
2020-01-14 02:00:00,NL,9.814606,4.36368,10.105177,99830.516
2020-01-14 03:00:00,NL,9.645203,4.7070312,9.589914,99784.59
2020-01-14 04:00:00,NL,9.477844,5.2584834,8.974829,99750.86
2020-01-14 05:00:00,NL,9.280334,5.6864505,8.17754,99785.1
2020-01-14 06:00:00,NL,9.131592,5.90721,7.336544,99832.53
2020-01-14 07:00:00,NL,9.095398,5.7693624,6.8440456,99893.33
2020-01-14 08:00:00,NL,9.024689,5.384728,6.726957,99925.87
2020-01-14 09:00:00,NL,9.025818,4.8821735,6.953611,99993.02
2020-01-14 10:00:00,NL,9.314941,4.0147276,6.981199,100055.62
2020-01-14 11:00:00,NL,9.461731,3.6379616,7.5290694,100048.555
2020-01-14 12:00:00,NL,9.670044,3.3968656,8.087665,100024.74
2020-01-14 13:00:00,NL,9.835846,3.0319302,8.502878,99973.61
2020-01-14 14:00:00,NL,9.931091,2.526132,9.20961,99915.5
2020-01-14 15:00:00,NL,10.057861,2.4921649,10.115892,99873.305
2020-01-14 16:00:00,NL,10.319336,3.1612868,11.041729,99815.37
2020-01-14 17:00:00,NL,10.726685,4.098802,11.529571,99819.89
2020-01-14 18:00:00,NL,11.068359,4.892928,11.724168,99815.31
2020-01-14 19:00:00,NL,11.266937,5.4484243,11.716894,99842.805
2020-01-14 20:00:00,NL,11.401733,5.8370266,11.494701,99865.92
2020-01-14 21:00:00,NL,11.465607,6.095073,11.30057,99908.8
2020-01-14 22:00:00,NL,11.408447,5.9219866,10.787159,99968.56
2020-01-14 23:00:00,NL,11.345642,6.1188455,10.688339,100017.76
2020-01-15 00:00:00,NL,11.326599,6.2974677,10.462718,100058.414
2020-01-15 01:00:00,NL,11.281891,6.488395,10.221658,100072.22
